Datetime,Price,Daily Rets,Log Rets,SMA100,EMA20,VMA20,Position 1,Position 2,Position 1 Log,P1 Long-Short CumRet,Position 2 Log,P2 Long Only CumRet,Position 3,Position 4,Position 3 Log,P3 Long-Short CumRet,Position 4 Log,P4 Long Only CumRet,Buy & Hold CumRet
2016-06-30,673.866074,0.05334864387563121,0.05197427415004058,504.06394779000004,651.5991538706202,606.3498375399664,1,1,0.05197427415004058,0.8406158966067035,0.05197427415004058,1.6034305175871004,1,1,0.05197427415004058,1.2817610422121295,0.05197427415004058,1.9799529931129483,3.0584592024822466
2016-07-01,676.598988,0.004055574401865325,0.00404737272752294,506.65505186,653.9800904543706,607.0188770681572,1,1,0.00404737272752294,0.8440250769187828,0.00404737272752294,1.6099333493493964,1,1,0.00404737272752294,1.2869593194842333,0.00404737272752294,1.9879828397887138,3.070863011332983
2016-07-02,704.770332,0.0416366924864513,0.04079321889323399,509.55649595,658.8172563158591,607.9498433056033,1,1,0.04079321889323399,0.8791674894973035,0.04079321889323399,1.6769656491399398,1,1,0.04079321889323399,1.340544048912171,0.04079321889323399,2.0707558699573387,3.198723590203872
2016-07-03,658.929123,-0.06504418094602771,-0.06725600315857018,511.98710523,658.8279102857773,607.9498433056033,1,1,-0.06725600315857018,0.821982760228576,-0.06725600315857018,1.5678887920170088,1,1,-0.06725600315857018,1.253349459228607,-0.06725600315857018,1.9360652504567843,2.990665234206324
2016-07-04,681.677121,0.034522678093862336,0.03394013975521876,514.63697972,661.0040255918939,608.6520078550737,1,1,0.03394013975521876,0.8503598064586516,0.03394013975521876,1.6220165120707866,1,1,0.03394013975521876,1.2966184391486726,0.03394013975521876,2.002903407867017,3.0939110073733347
2016-07-05,667.5478,-0.020727292386273355,-0.02094511792412103,517.06249261,661.6272422021897,608.6520078550737,1,1,-0.02094511792412103,0.8327341501166483,-0.02094511792412103,1.5883965015697321,1,1,-0.02094511792412103,1.2697430496470048,-0.02094511792412103,1.9613886433106942,3.0297826093063978
2016-07-06,676.434711,0.013312771010555169,0.013224934778240468,519.6009841700001,663.0374773257907,608.6520078550737,1,1,0.013224934778240468,0.8438201491698205,0.013224934778240468,1.609542460469097,1,1,0.013224934778240468,1.2866468481091995,0.013224934778240468,1.9875001611817928,3.0701174113958563
2016-07-07,640.148361,-0.05364353633827634,-0.05513596942413862,521.84405588,660.8575614852392,608.6520078550737,1,1,-0.05513596942413862,0.7985546523348594,-0.05513596942413862,1.5232009110029243,1,1,-0.05513596942413862,1.2176265611581247,-0.05513596942413862,1.8808836240631075,2.9054254564748674
2016-07-08,664.250804,0.03765133907762985,0.0369598314753562,524.3546566599999,661.180727439026,608.6520078550737,1,1,0.0369598314753562,0.828621304321938,0.0369598314753562,1.58055146498645,1,1,0.0369598314753562,1.2634718316822178,0.0369598314753562,1.9517014111582687,3.0148186155013805
2016-07-09,648.909941,-0.023094985971593984,-0.023365853745147675,526.69064095,660.0120811114998,609.0354167421683,1,1,-0.023365853745147675,0.809484306922859,-0.023365853745147675,1.5440486510752056,1,1,-0.023365853745147675,1.2342919674540127,-0.023365853745147675,1.9066268944468283,2.9451914218694757
2016-07-10,649.8004,0.0013722381855141297,0.0013712975271351362,529.01972942,659.0395400532617,609.0354167421683,1,1,0.0013712975271351362,0.810595112199393,0.0013712975271351362,1.5461674535945027,1,1,0.0013712975271351362,1.2359857100238265,0.0013712975271351362,1.9092432406769166,2.9492329260022134
2016-07-11,648.745914,-0.0016227844735090535,-0.001624102614464916,531.30827321,658.0591947148558,609.0354167421683,1,1,-0.001624102614464916,0.8092796910370135,-0.001624102614464916,1.5436583570573645,1,1,-0.001624102614464916,1.2339799716041209,-0.001624102614464916,1.906144950389794,2.9444469566011353
2016-07-12,664.648328,0.024512545908689898,0.02421693450635634,533.75875446,658.6867312182029,609.5650635160524,1,1,0.02421693450635634,0.8291171966165286,0.02421693450635634,1.581497353402066,1,1,0.02421693450635634,1.2642279623084707,0.02421693450635634,1.9528694159948412,3.0166228478005226
2016-07-13,654.592572,-0.015129438496082392,-0.015245056085744278,536.1116313800001,658.2968112926598,609.5650635160524,1,1,-0.015245056085744278,0.8165731189842746,-0.015245056085744278,1.5575701864620524,1,1,-0.015245056085744278,1.2451009031076972,-0.015245056085744278,1.923323598274667,2.970983037958848
2016-07-14,660.09102,0.008399802006919144,0.008364719987815437,538.48990443,658.4676883124065,609.5650635160524,1,1,0.008364719987815437,0.8234321715079149,0.008364719987815437,1.5706534676402137,1,1,0.008364719987815437,1.255559504172438,0.008364719987815437,1.9394791356954095,2.995938707243617
