Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,6/16/2015,250.827587,236.949324,252.83562,236.120383
BTC,6/17/2015,248.857962,250.827587,258.164392,246.621313
BTC,6/18/2015,249.129056,248.857962,252.463166,243.176338
BTC,6/19/2015,244.425259,249.129056,250.945041,243.586286
BTC,6/20/2015,245.11259,244.425259,245.811103,240.381887
BTC,6/21/2015,243.66241,245.112947,245.749982,241.266396
BTC,6/22/2015,246.911361,243.662408,247.920166,243.347539
BTC,6/23/2015,243.751731,246.911361,247.198668,242.478449
BTC,6/24/2015,240.012215,243.751608,244.098098,239.251805
BTC,6/25/2015,242.077664,240.012229,242.832444,239.635639
BTC,6/26/2015,243.124362,242.077857,243.285553,240.709699
BTC,6/27/2015,251.319118,243.124439,251.583803,242.371535
BTC,6/28/2015,248.618804,251.319118,251.320339,247.199901
BTC,6/29/2015,256.736691,248.618197,257.186051,248.453291
BTC,6/30/2015,262.508063,256.734751,268.441677,255.211366
BTC,7/1/2015,258.051293,262.508063,264.800841,254.747938
BTC,7/2/2015,254.603739,258.051293,261.741076,253.37194
BTC,7/3/2015,256.11961,254.603739,256.413522,252.573879
BTC,7/4/2015,260.60165,256.11961,261.285821,253.698298
BTC,7/5/2015,271.85882,260.60165,274.857975,258.286734
BTC,7/6/2015,268.848039,271.858832,278.504485,267.609863
BTC,7/7/2015,265.699098,268.848039,271.472127,264.181087
BTC,7/8/2015,270.354102,265.699098,273.44745,263.638669
BTC,7/9/2015,269.411507,270.354102,272.752467,266.276933
BTC,7/10/2015,285.305328,269.411331,295.10063,268.797206
BTC,7/11/2015,293.355179,285.305328,298.810748,283.549401
BTC,7/12/2015,311.022534,293.356096,316.090455,292.016749
BTC,7/13/2015,292.440656,311.022534,311.405187,281.393737
BTC,7/14/2015,287.304948,292.440602,297.161658,286.284251
BTC,7/15/2015,285.61609,287.304948,293.615124,284.802929
BTC,7/16/2015,278.867644,285.61609,292.581452,275.286713
BTC,7/17/2015,279.915468,278.866955,280.674756,272.254857
BTC,7/18/2015,276.958476,279.915468,282.902262,276.485221
BTC,7/19/2015,274.907643,276.958476,278.377916,274.720685
BTC,7/20/2015,279.638416,274.906773,279.758621,273.630617
BTC,7/21/2015,275.915773,279.638688,281.235671,275.412187
BTC,7/22/2015,277.827433,275.918095,277.827433,274.900654
BTC,7/23/2015,276.529998,277.820288,278.348589,276.151787
BTC,7/24/2015,288.820679,276.530016,289.496751,276.052819
BTC,7/25/2015,289.273504,288.821116,291.764004,286.614364
BTC,7/26/2015,292.856431,289.273997,293.884991,287.854587
BTC,7/27/2015,294.093543,292.856431,297.244161,286.371729
BTC,7/28/2015,295.053741,294.093637,297.224871,293.564529
BTC,7/29/2015,290.004226,295.053741,295.178542,288.28649
BTC,7/30/2015,288.278261,290.004226,290.667164,285.72827
BTC,7/31/2015,284.407784,288.278261,289.405224,282.536797
BTC,8/1/2015,280.492812,284.407784,284.89001,276.980571
BTC,8/2/2015,282.304127,280.473508,282.730078,276.644211
BTC,8/3/2015,280.942654,282.304256,285.738167,279.739868
BTC,8/4/2015,285.451732,280.942634,286.109372,280.568188
BTC,8/5/2015,282.333962,285.451745,285.850025,281.55198
BTC,8/6/2015,279.121189,282.333962,282.334904,278.488712
BTC,8/7/2015,279.822054,279.121189,280.723415,275.950836
BTC,8/8/2015,261.728057,279.822054,280.154391,260.628032
BTC,8/9/2015,265.461649,261.728151,267.597659,260.945015
BTC,8/10/2015,264.727125,265.461649,267.189425,262.383479
BTC,8/11/2015,271.657012,264.727125,271.657241,264.680072
BTC,8/12/2015,267.139904,271.657012,272.089466,265.856734
BTC,8/13/2015,264.524486,267.139904,267.358083,262.779232
BTC,8/14/2015,265.937124,264.524351,267.495952,262.125081
BTC,8/15/2015,261.795466,265.937124,266.903927,260.979318
BTC,8/16/2015,257.964436,261.795957,262.31688,255.931343
BTC,8/17/2015,257.106781,257.964436,260.755419,256.150287
BTC,8/18/2015,220.795121,257.107004,257.350931,216.172859
BTC,8/19/2015,226.45461,220.854986,237.693503,220.377166
BTC,8/20/2015,235.520902,226.454258,237.28787,226.454247
BTC,8/21/2015,232.620885,235.520902,236.375917,231.607083
BTC,8/22/2015,230.606894,232.620885,235.176748,222.753566
BTC,8/23/2015,228.788772,230.60702,233.21771,225.956625
BTC,8/24/2015,210.369911,228.788772,228.826492,209.866454
BTC,8/25/2015,222.206051,210.369911,227.786397,198.458279
BTC,8/26/2015,225.821614,222.254612,231.264194,219.953099
BTC,8/27/2015,225.487719,225.82148,228.793906,223.786802
BTC,8/28/2015,231.541891,225.487879,235.812228,220.458934
BTC,8/29/2015,229.976061,231.540645,233.632479,227.44489
BTC,8/30/2015,228.973938,229.97607,232.606891,225.372459
BTC,8/31/2015,230.273955,228.982268,232.489757,225.254184
BTC,9/1/2015,227.972279,230.274346,231.380414,226.472942
BTC,9/2/2015,229.540856,227.972279,230.894519,226.355471
BTC,9/3/2015,227.172825,229.540856,229.85103,226.605491
BTC,9/4/2015,230.728768,227.172828,231.398845,227.011394
BTC,9/5/2015,235.722164,230.728768,237.07645,229.712144
BTC,9/6/2015,240.429486,235.722164,244.189744,235.28023
BTC,9/7/2015,240.59247,240.428188,242.366,238.879501
BTC,9/8/2015,244.186226,240.593097,246.374813,240.228854
BTC,9/9/2015,238.827529,244.186337,244.689225,238.068766
BTC,9/10/2015,238.770168,238.827536,241.412193,236.346588
BTC,9/11/2015,240.243484,238.770095,241.438126,238.651251
BTC,9/12/2015,235.123795,240.243457,240.62159,234.912514
BTC,9/13/2015,230.727051,235.123795,236.097422,229.233701
BTC,9/14/2015,230.960243,230.727051,232.841087,228.156789
BTC,9/15/2015,230.458616,230.960243,232.321437,229.650575
BTC,9/16/2015,229.037079,230.458548,231.776937,227.143221
BTC,9/17/2015,233.238849,229.037079,234.906472,228.839849
BTC,9/18/2015,233.083494,233.237254,234.717281,231.588378
BTC,9/19/2015,231.705669,233.083494,233.706048,230.889761
BTC,9/20/2015,230.409946,231.70478,232.393728,230.20717
BTC,9/21/2015,227.145239,230.409944,231.671197,226.443263
BTC,9/22/2015,230.949642,227.145052,232.449528,224.720106
BTC,9/23/2015,230.294972,230.949642,232.479701,229.403921
BTC,9/24/2015,234.5941,230.294972,235.895599,230.244951
BTC,9/25/2015,235.378747,234.5941,237.506077,233.536926
BTC,9/26/2015,234.276596,235.378747,235.568506,233.273907
BTC,9/27/2015,233.215967,234.276596,234.621015,232.634762
BTC,9/28/2015,240.072871,233.21683,240.398443,232.824552
BTC,9/29/2015,236.869857,240.073533,241.013602,236.832983
BTC,9/30/2015,236.434715,236.869809,238.25859,235.250244
BTC,10/1/2015,237.918319,236.434715,239.298342,236.161335
BTC,10/2/2015,237.825444,237.928812,239.038686,237.345817
BTC,10/3/2015,239.611143,237.825449,240.028051,237.715331
BTC,10/4/2015,238.807407,239.611143,240.047427,238.208728
BTC,10/5/2015,240.794243,238.807413,240.842364,237.274741
BTC,10/6/2015,246.711984,240.794243,247.942309,240.567425
BTC,10/7/2015,243.585494,246.711984,247.664131,243.348561
BTC,10/8/2015,243.008836,243.586047,245.265246,242.889151
BTC,10/9/2015,244.510468,243.008836,244.816284,242.744974
BTC,10/10/2015,245.728105,244.510468,245.950889,243.504014
BTC,10/11/2015,247.968202,245.728105,248.341073,245.124829
BTC,10/12/2015,246.327044,247.969375,248.458336,245.570108
BTC,10/13/2015,250.94498,246.327157,251.539122,244.477526
BTC,10/14/2015,253.109233,250.945885,255.358123,249.958446
BTC,10/15/2015,254.808467,253.109724,256.834989,253.015395
BTC,10/16/2015,263.307075,254.808467,267.439814,254.505603
BTC,10/17/2015,273.02095,263.307304,274.62078,262.871245
BTC,10/18/2015,264.723178,273.021586,274.232661,262.116819
BTC,10/19/2015,265.030491,264.723178,267.657814,262.511377
BTC,10/20/2015,270.873073,265.030491,272.770471,264.427558
BTC,10/21/2015,267.811006,270.873073,272.280866,264.363602
BTC,10/22/2015,275.58681,267.811006,279.915955,267.518185
BTC,10/23/2015,278.78217,275.58681,280.330004,275.069057
BTC,10/24/2015,283.489442,278.782252,284.05702,278.735689
BTC,10/25/2015,284.670332,283.489505,295.739127,283.40938
BTC,10/26/2015,287.031072,284.670335,287.031072,281.676166
BTC,10/27/2015,295.27047,287.03203,298.024703,286.936802
BTC,10/28/2015,304.849329,295.27047,308.181473,295.249493
BTC,10/29/2015,314.64625,304.852608,320.387182,301.758645
BTC,10/30/2015,328.350947,314.64625,335.396943,314.411183
BTC,10/31/2015,315.489281,328.352775,334.436654,307.046697
BTC,11/1/2015,330.033308,315.489285,332.084382,312.880851
BTC,11/2/2015,365.239184,330.033308,370.631884,326.466209
BTC,11/3/2015,404.467665,365.239184,421.187297,361.016753
BTC,11/4/2015,409.149336,404.467646,501.596529,369.235791
BTC,11/5/2015,387.156225,409.112948,448.780243,370.102601
BTC,11/6/2015,374.915252,387.171522,396.254256,352.626128
BTC,11/7/2015,384.788729,374.97971,392.112492,372.661718
BTC,11/8/2015,372.51,384.725259,389.875726,366.014959
BTC,11/9/2015,379.755748,372.51,386.442824,361.550366
BTC,11/10/2015,337.811773,379.757103,382.3564,326.083011
BTC,11/11/2015,313.437678,337.797472,342.171797,300.3
BTC,11/12/2015,336.959702,313.437874,345.617848,313.407109
BTC,11/13/2015,337.125328,336.958382,342.842767,326.05174
BTC,11/14/2015,333.363021,337.125328,339.988518,329.180152
BTC,11/15/2015,320.338059,333.363,335.197739,315.047845
BTC,11/16/2015,331.338683,320.338059,333.670456,315.314999
BTC,11/17/2015,336.002956,331.35416,340.542361,330.570479
